shRN_AID	GeneSymbol	EntrezID	Pool	shRNA_start	Mean_T14.T0	T14.T0_A	T14.T0_B	Reads_A_T0	Reads_A_T14	Reads_B_T0	Reads_B_T14
Edf1.652	Edf1	59022	LIB	652	0.133434746	0.188121528	0.078747964	14581	2743	14121	1112
Eed.710	Eed	13626	LIB	710	0	0	0	5375	0	4431	0
Eed.949	Eed	13626	LIB	949	0.716286619	0.796963648	0.63560959	19036	15171	17602	11188
Eed.1083	Eed	13626	LIB	1083	0.029501785	0.041323731	0.017679838	40824	1687	39480	698
Eed.1397	Eed	13626	LIB	1397	0.246827441	0.148140193	0.345514689	27933	4138	25394	8774
Eed.1820	Eed	13626	LIB	1820	1.45400601	2.707134121	0.200877898	36795	99609	29844	5995
EG330129.869	EG330129	330129	LIB	869	0.174185305	0.022923713	0.325446898	2661	61	1902	619
EG330129.2118	EG330129	330129	LIB	2118	0.182159211	0.070402494	0.293915929	14758	1039	18080	5314
EG330129.2262	EG330129	330129	LIB	2262	1.326585139	1.239206534	1.413963743	15426	19116	20410	28859
EG330129.2329	EG330129	330129	LIB	2329	0.216031756	0.316051389	0.116012124	19693	6224	15507	1799
EG546387.1344	EG546387	546387	LIB	1344	1.884762179	2.164840532	1.604683826	61423	132971	65502	105110
EG546387.2159	EG546387	546387	LIB	2159	0.330597641	0.293600259	0.367595023	18532	5441	17522	6441
EG546387.2272	EG546387	546387	LIB	2272	0.382783292	0.430418838	0.335147745	5181	2230	3858	1293
Ehmt1.66	Ehmt1	77683	LIB	66	0.211522228	0.16763608	0.255408376	23038	3862	34576	8831
Ehmt1.386	Ehmt1	77683	LIB	386	0.163750658	0.113922928	0.213578389	78913	8990	88361	18872
Ehmt1.859	Ehmt1	77683	LIB	859	0	0	0	3728	0	2265	0
Ehmt1.920	Ehmt1	77683	LIB	920	2.134228281	3.754773552	0.51368301	12674	47588	15786	8109
Ehmt1.3003	Ehmt1	77683	LIB	3003	0.000117585	0.00023517	0	17009	4	13764	0
Ehmt2.724	Ehmt2	110147	LIB	724	0.448962106	0.525151398	0.372772814	28567	15002	19363	7218
Ehmt2.1880	Ehmt2	110147	LIB	1880	0.120154259	0.044799208	0.19550931	16161	724	10956	2142
Ehmt2.2014	Ehmt2	110147	LIB	2014	0.391040713	0.240246192	0.541835234	9586	2303	10876	5893
Ehmt2.3146	Ehmt2	110147	LIB	3146	0.23467894	0.240075706	0.229282175	20606	4947	20381	4673
Ehmt2.3202	Ehmt2	110147	LIB	3202	0.038002797	0.076005593	0	12157	924	12076	0
Elp3.117	Elp3	74195	LIB	117	0.373058626	0.121392815	0.624724436	13584	1649	11794	7368
Elp3.215	Elp3	74195	LIB	215	0.047358662	0.093162219	0.001555105	14727	1372	14790	23
Elp3.219	Elp3	74195	LIB	219	0.054251126	0.007308659	0.101193592	17103	125	19102	1933
Elp3.592	Elp3	74195	LIB	592	0.016186053	0.000130702	0.032241405	7651	1	13554	437
Ep300.754	Ep300	328572	LIB	754	0.621685394	0.695170261	0.548200527	49982	34746	48931	26824
Ep300.3850	Ep300	328572	LIB	3850	0	0	0	4229	0	4817	0
Ep300.5490	Ep300	328572	LIB	5490	0.109121897	0.125441696	0.092802099	19810	2485	18297	1698
Ep300.7826	Ep300	328572	LIB	7826	0.066538139	0.12088261	0.012193669	25198	3046	25177	307
Ep300.8647	Ep300	328572	LIB	8647	0.268474952	0.379490888	0.157459016	34570	13119	36600	5763
Evi1.649	Evi1	14013	LIB	649	0.041338867	0.042903321	0.039774414	23821	1022	23583	938
Evi1.652	Evi1	14013	LIB	652	0.702939444	0.290198461	1.115680427	4938	1433	6371	7108
Evi1.1371	Evi1	14013	LIB	1371	0.655772594	0.660998268	0.65054692	6351	4198	5211	3390
Evi1.1978	Evi1	14013	LIB	1978	NA	NA	NA	0	0	0	0
Evi1.2720	Evi1	14013	LIB	2720	0.5472099	0.513677435	0.580742364	8079	4150	7301	4240
Ezh1.68	Ezh1	14055	LIB	68	0.645375689	0.276368717	1.01438266	23617	6527	29619	30045
Ezh1.73	Ezh1	14055	LIB	73	0.545034582	0.000464684	1.08960448	2152	1	2857	3113
Ezh1.4104	Ezh1	14055	LIB	4104	0.161312023	0.013273543	0.309350504	5575	74	3572	1105
Ezh1.4105	Ezh1	14055	LIB	4105	0.171634666	0	0.343269333	10809	0	9427	3236
Ezh2.556	Ezh2	14056	LIB	556	0.466252547	0.612704524	0.31980057	5195	3183	2808	898
Ezh2.1370	Ezh2	14056	LIB	1370	0.123390861	7.6365e-05	0.246705356	13095	1	16542	4081
Ezh2.1678	Ezh2	14056	LIB	1678	0.929056053	0.842508957	1.015603148	39634	33392	36467	37036
Ezh2.2124	Ezh2	14056	LIB	2124	0.31242234	0.550174697	0.074669984	24614	13542	24923	1861
Ezh2.2253	Ezh2	14056	LIB	2253	0.01894361	0.035966931	0.001920288	23466	844	25517	49
Fbxl10.356	Fbxl10	30841	LIB	356	0.784501754	0.743513957	0.825489551	9135	6792	12154	10033
Fbxl10.443	Fbxl10	30841	LIB	443	0	0	0	1186	0	1217	0
Fbxl10.3131	Fbxl10	30841	LIB	3131	0.334422325	0.322283458	0.346561192	12157	3918	15296	5301
Fbxl10.3145	Fbxl10	30841	LIB	3145	7.832968832	5.033134824	10.63280284	28882	145367	25071	266575
Fbxl11.663	Fbxl11	225876	LIB	663	0.055910099	0.056709087	0.055111111	4479	254	4500	248
Fbxl11.1840	Fbxl11	225876	LIB	1840	0.665785489	0.545696539	0.785874439	2254	1230	892	701
Fbxl11.7144	Fbxl11	225876	LIB	7144	0.429356479	0.627018076	0.231694881	14494	9088	14709	3408
Fbxl11.7145	Fbxl11	225876	LIB	7145	0.022754725	0.006901311	0.03860814	10143	70	8133	314
Fbxl19.1945	Fbxl19	233902	LIB	1945	0.000400481	0.000800961	0	4994	4	6347	0
Fbxl19.2841	Fbxl19	233902	LIB	2841	0	0	0	4416	0	3763	0
Fbxl19.3203	Fbxl19	233902	LIB	3203	0.009336737	0	0.018673474	17900	0	21153	395
Fkbp1a.646	Fkbp1a	14225	LIB	646	0.013864068	0.000782983	0.026945153	7663	6	6272	169
Fkbp1a.827	Fkbp1a	14225	LIB	827	9.3066783	17.8021978	0.811158798	3731	66420	5825	4725
Fkbp1a.851	Fkbp1a	14225	LIB	851	0.000933707	0.001867414	0	2142	4	1255	0
Fkbp1a.854	Fkbp1a	14225	LIB	854	0.231878127	0.293098599	0.170657654	17779	5211	17456	2979
Fkbp2.195	Fkbp2	14227	LIB	195	0.069369424	0.006895419	0.131843428	12182	84	7562	997
Fkbp2.213	Fkbp2	14227	LIB	213	0	0	0	1713	0	1042	0
Fkbp2.532	Fkbp2	14227	LIB	532	NA	NA	NA	190	0	104	0
Fkbp2.581	Fkbp2	14227	LIB	581	0.082910366	0.073922933	0.091897799	29896	2210	38434	3532
Fkbp5.595	Fkbp5	14229	LIB	595	0.338439879	0.280911589	0.39596817	6187	1738	9425	3732
Fkbp5.628	Fkbp5	14229	LIB	628	0.089209903	0.17644742	0.001972387	2539	448	2028	4
Fkbp5.1219	Fkbp5	14229	LIB	1219	0.000883913	0	0.001767826	2462	0	1697	3
Fkbp5.2613	Fkbp5	14229	LIB	2613	NA	NA	NA	0	0	0	0
Fkbp5.2813	Fkbp5	14229	LIB	2813	1.309441349	0	2.618882698	27937	0	19923	52176
Fkbp5.3272	Fkbp5	14229	LIB	3272	0.077016559	0.100727476	0.053305642	7148	720	11556	616
Gtf3c4.2358	Gtf3c4	269252	LIB	2358	0.307657393	0.515803397	0.099511389	14364	7409	14531	1446
Gtf3c4.2444	Gtf3c4	269252	LIB	2444	0.211577111	0.019757689	0.403396534	5365	106	8597	3468
Gtf3c4.2605	Gtf3c4	269252	LIB	2605	2.594960462	3.356335785	1.833585138	13187	44260	17871	32768
Gtf3c4.3160	Gtf3c4	269252	LIB	3160	0.218403794	0.156206756	0.280600831	12285	1919	9387	2634
Gtf3c4.3163	Gtf3c4	269252	LIB	3163	0.706197905	0.944937527	0.467458283	23210	21932	22233	10393
H2afz.508	H2afz	51788	LIB	508	0.112249335	0.190899582	0.033599089	7648	1460	7024	236
H2afz.692	H2afz	51788	LIB	692	0.119788095	0.10965435	0.12992184	13424	1472	13562	1762
H2afz.823	H2afz	51788	LIB	823	0	0	0	8678	0	5225	0
H2afz.909	H2afz	51788	LIB	909	2.570129526	3.94702491	1.193234141	27579	108855	26279	31357
H2afz.937	H2afz	51788	LIB	937	0.262185545	0.243682034	0.280689056	6529	1591	6908	1939
Hat1.290	Hat1	107435	LIB	290	0.242612885	0.28585051	0.19937526	40899	11691	48020	9574
Hat1.638	Hat1	107435	LIB	638	1.347345343	1.429206206	1.265484481	278838	398517	279877	354180
Hat1.866	Hat1	107435	LIB	866	0.629381934	0.736795839	0.521968029	13651	10058	10447	5453
Hat1.1528	Hat1	107435	LIB	1528	0.415532045	0.51072454	0.320339551	5921	3024	8953	2868
Hcfc1.812	Hcfc1	15161	LIB	812	0.162841158	0.15639547	0.169286845	28786	4502	27161	4598
Hcfc1.4648	Hcfc1	15161	LIB	4648	0.063853471	0	0.127706942	8357	0	9882	1262
Hcfc1.7430	Hcfc1	15161	LIB	7430	0.024043164	0.037148827	0.0109375	4307	160	3200	35
Hcfc1.7506	Hcfc1	15161	LIB	7506	0.133648563	0.20077669	0.066520435	43003	8634	44678	2972
Hcfc1.8014	Hcfc1	15161	LIB	8014	0.001865461	0.003730921	0	8845	33	9753	0
Hdac1.245	Hdac1	433759	LIB	245	0.23785439	0.369592346	0.106116433	4808	1777	5428	576
Hdac1.1053	Hdac1	433759	LIB	1053	0.441444289	0.704354469	0.17853411	15708	11064	13398	2392
Hdac1.1065	Hdac1	433759	LIB	1065	0.003350221	0.006700441	0	6119	41	4640	0
Hdac1.1830	Hdac1	433759	LIB	1830	1.267186229	0.331748957	2.2026235	10309	3420	7166	15784
Hdac10.1645	Hdac10	170787	LIB	1645	NA	NA	NA	0	0	0	0
Hdac10.2041	Hdac10	170787	LIB	2041	0.034962353	0.003184375	0.066740331	9421	30	13575	906
Hdac10.2307	Hdac10	170787	LIB	2307	0.244272107	0.406371338	0.082172877	11332	4605	15942	1310
Hdac11.2025	Hdac11	232232	LIB	2025	0.034038791	0.067849687	0.000227894	5748	390	4388	1
Hdac11.2058	Hdac11	232232	LIB	2058	0.616567512	0.530961372	0.702173652	21979	11670	33308	23388
Hdac11.2182	Hdac11	232232	LIB	2182	0	0	0	2741	0	1897	0
Hdac11.2460	Hdac11	232232	LIB	2460	0.179395578	0.071746032	0.287045124	3150	226	3435	986
Hdac11.2461	Hdac11	232232	LIB	2461	0.106169791	0.145963878	0.066375705	5426	792	5499	365
Hdac2.439	Hdac2	15182	LIB	439	0.120428617	0.098365041	0.142492194	29909	2942	35230	5020
Hdac2.440	Hdac2	15182	LIB	440	0	0	0	1162	0	1339	0
Hdac2.1184	Hdac2	15182	LIB	1184	1.736519405	1.729724166	1.743314643	19432	33612	18548	32335
Hdac2.1611	Hdac2	15182	LIB	1611	0.555755616	0.901804888	0.209706344	39116	35275	44610	9355
Hdac2.1919	Hdac2	15182	LIB	1919	0.22681503	0.273884154	0.179745907	58543	16034	62733	11276
Hdac3.161	Hdac3	15183	LIB	161	0.027585567	0.052225083	0.00294605	5438	284	5431	16
Hdac3.854	Hdac3	15183	LIB	854	0.19703596	0.313846421	0.080225499	11512	3613	11530	925
Hdac3.987	Hdac3	15183	LIB	987	9.200089463	15.16698706	3.23319187	15606	236696	17908	57900
Hdac3.1037	Hdac3	15183	LIB	1037	0.194075242	0.388150484	0	4439	1723	4619	0
Hdac3.1491	Hdac3	15183	LIB	1491	0.078428253	0	0.156856507	7985	0	6286	986
Hdac4.331	Hdac4	208727	LIB	331	0.249392869	0.421878803	0.076906935	16436	6934	19062	1466
Hdac4.431	Hdac4	208727	LIB	431	12.91595763	23.42054693	2.41136833	6765	158440	9201	22187
Hdac4.1903	Hdac4	208727	LIB	1903	0.656722465	0.484156227	0.829288703	1357	657	1195	991
Hdac4.3273	Hdac4	208727	LIB	3273	0.086063916	0.063287745	0.108840087	14916	944	19717	2146
Hdac5.1115	Hdac5	15184	LIB	1115	0.146091516	0.292183031	0	2098	613	2229	0
Hdac5.1936	Hdac5	15184	LIB	1936	0.311596614	0.41754442	0.205648809	18798	7849	29847	6138
Hdac5.2060	Hdac5	15184	LIB	2060	0.050833282	0.001168224	0.100498339	2568	3	1204	121
Hdac5.2412	Hdac5	15184	LIB	2412	0.153710614	7.29288e-05	0.307348299	13712	1	11404	3505
Hdac5.2886	Hdac5	15184	LIB	2886	0.023975817	0.024090462	0.023861171	8136	196	8759	209
Hdac6.530	Hdac6	15185	LIB	530	NA	NA	NA	0	0	0	0
Hdac6.2249	Hdac6	15185	LIB	2249	0.395188053	0.790376106	0	1808	1429	2043	0
Hdac6.3838	Hdac6	15185	LIB	3838	0.463447784	0.373127484	0.553768085	6542	2441	9262	5129
Hdac6.4026	Hdac6	15185	LIB	4026	0.673906334	0.58012685	0.767685818	21285	12348	26787	20564
Hdac7.560	Hdac7	56233	LIB	560	0.05	0.1	0	6870	687	6840	0
Hdac7.836	Hdac7	56233	LIB	836	1.003143594	0.60732691	1.398960277	8926	5421	7502	10495
Hdac7.1293	Hdac7	56233	LIB	1293	0.232796973	0.260955434	0.204638512	34937	9117	34192	6997
Hdac7.2255	Hdac7	56233	LIB	2255	0.180458299	0.321948649	0.038967948	20876	6721	30076	1172
Hdac7.3429	Hdac7	56233	LIB	3429	0.108629839	0.07593243	0.141327247	5979	454	5696	805
Hdac8.296	Hdac8	70315	LIB	296	0	0	0	1838	0	3737	0
Hdac8.397	Hdac8	70315	LIB	397	0.346191954	0.376371183	0.316012725	13492	5078	9430	2980
Hdac8.900	Hdac8	70315	LIB	900	0.06905	0.066867307	0.071232693	25917	1733	29902	2130
Hdac8.1692	Hdac8	70315	LIB	1692	0.716122809	0.945390961	0.486854657	22304	21086	26207	12759
Hdac9.1236	Hdac9	79221	LIB	1236	0.061659427	0.057717972	0.065600882	8992	519	14512	952
Hdac9.1449	Hdac9	79221	LIB	1449	0.043527072	0.053540314	0.03351383	12626	676	13666	458
Hdac9.2031	Hdac9	79221	LIB	2031	0.20955986	0.268333519	0.1507862	17918	4808	17044	2570
Hdac9.2070	Hdac9	79221	LIB	2070	0.237782658	0.104923474	0.370641842	59653	6259	56073	20783
Hdac9.4083	Hdac9	79221	LIB	4083	0.385634864	0.501316194	0.269953535	45586	22853	43689	11794
Hells.977	Hells	15201	LIB	977	0.412970986	0.000769823	0.82517215	1299	1	2614	2157
Hells.1094	Hells	15201	LIB	1094	NA	NA	NA	0	0	0	0
Hells.1145	Hells	15201	LIB	1145	0.069970575	0.086036762	0.053904388	31010	2668	28532	1538
Hells.1703	Hells	15201	LIB	1703	1.268695155	1.091805094	1.445585216	9030	9859	5844	8448
Hells.2323	Hells	15201	LIB	2323	0.098153695	0.146551233	0.049756158	35114	5146	32398	1612
Hira.223	Hira	15260	LIB	223	0.038783499	0.047608174	0.029958824	8759	417	7043	211
Hira.2318	Hira	15260	LIB	2318	0	0	0	7426	0	9835	0
Hira.2835	Hira	15260	LIB	2835	1.729519941	2.66571554	0.793324343	4556	12145	5932	4706
Hira.4298	Hira	15260	LIB	4298	0.054981253	0.011631924	0.098330582	8683	101	5451	536
Hltf.252	Hltf	20585	LIB	252	0.405465225	0.538874518	0.272055932	20489	11041	22885	6226
Hltf.455	Hltf	20585	LIB	455	0.441636316	0.589916076	0.293356556	76855	45338	80380	23580
Hltf.497	Hltf	20585	LIB	497	3.701953893	1.507171929	5.896735857	25307	38142	24907	146870
Hltf.1198	Hltf	20585	LIB	1198	0.200363394	0.039606523	0.361120264	3863	153	3035	1096
Ing2.649	Ing2	69260	LIB	649	0.026442538	0.001332149	0.051552926	4504	6	4733	244
Ing2.1400	Ing2	69260	LIB	1400	0.441872864	0.485687809	0.398057919	38848	18868	29144	11601
Ing2.1788	Ing2	69260	LIB	1788	0.00514048	0.009192066	0.001088893	6201	57	10102	11
Ing2.1824	Ing2	69260	LIB	1824	0.230878224	0.327220173	0.134536275	10033	3283	10696	1439
Ing2.2176	Ing2	69260	LIB	2176	0.110401249	0.03625	0.184552498	29600	1073	32782	6050
Ino80.458	Ino80	68142	LIB	458	1.017141522	0.572352773	1.461930271	10511	6016	22774	33294
Ino80.1194	Ino80	68142	LIB	1194	0.864776346	0.582272727	1.147279965	11000	6405	9044	10376
Ino80.2062	Ino80	68142	LIB	2062	3.479477858	2.83947293	4.119482786	52365	148689	44701	184145
Ino80.4069	Ino80	68142	LIB	4069	4.925644667	4.280960907	5.570328426	6702	28691	4415	24593
Jarid1a.2826	Jarid1a	214899	LIB	2826	0.248654315	0.35031185	0.14699678	18278	6403	18014	2648
Jarid1a.6729	Jarid1a	214899	LIB	6729	1.363948366	0.535007243	2.192889488	10355	5540	10379	22760
Jarid1a.10299	Jarid1a	214899	LIB	10299	0.263122123	0.241511541	0.284732705	26860	6487	19211	5470
Jarid1a.10802	Jarid1a	214899	LIB	10802	0.106583794	0	0.213167587	3533	0	4344	926
Jarid1a.11640	Jarid1a	214899	LIB	11640	0.311471985	0.488261591	0.134682379	35567	17366	33011	4446
Jarid1b.382	Jarid1b	75605	LIB	382	0.18904701	0.27594244	0.10215158	9868	2723	5159	527
Jarid1b.1671	Jarid1b	75605	LIB	1671	NA	NA	NA	0	0	6	0
Jarid1b.2176	Jarid1b	75605	LIB	2176	NA	NA	NA	0	0	0	0
Jarid1b.4339	Jarid1b	75605	LIB	4339	0.192060819	0.068007096	0.316114542	5073	345	5343	1689
Jarid1b.4527	Jarid1b	75605	LIB	4527	0.071297514	0.00530504	0.137289989	9425	50	10059	1381
Jarid1c.1882	Jarid1c	20591	LIB	1882	0.140338666	0.006669282	0.274008051	2549	17	3478	953
Jarid1c.1886	Jarid1c	20591	LIB	1886	0.69700856	0.5224761	0.871541021	14749	7706	12323	10740
Jarid1c.2010	Jarid1c	20591	LIB	2010	0.918964146	1.082710075	0.755218216	2273	2461	527	398
Jarid1c.5632	Jarid1c	20591	LIB	5632	1.124564108	1.80619245	0.442935765	27259	49235	24893	11026
Jarid1d.2138	Jarid1d	20592	LIB	2138	0.012383228	0.024766457	0	9206	228	12341	0
Jarid1d.2800	Jarid1d	20592	LIB	2800	0.587157188	0.988469407	0.185844969	10754	10630	12462	2316
Jarid1d.3002	Jarid1d	20592	LIB	3002	0.080944165	0.06776283	0.094125501	2007	136	2996	282
Jarid1d.4830	Jarid1d	20592	LIB	4830	0.383022948	0.353332365	0.412713531	34435	12167	32548	13433
Jarid2.1699	Jarid2	16468	LIB	1699	0.157375244	0.267980636	0.046769852	2892	775	5944	278
Jarid2.2191	Jarid2	16468	LIB	2191	2.421585425	4.080815103	0.762355747	83425	340442	85527	65202
Jarid2.3219	Jarid2	16468	LIB	3219	0	0	0	2395	0	769	0
Jhdm1d.2087	Jhdm1d	338523	LIB	2087	0.258961381	0.414341695	0.103581067	29857	12371	32979	3416
Jhdm1d.2209	Jhdm1d	338523	LIB	2209	0.617600335	0.548194175	0.687006494	25750	14116	21403	14704
Jhdm1d.3273	Jhdm1d	338523	LIB	3273	0.225125817	0.192359317	0.257892316	119204	22930	121764	31402
Jhdm1d.6787	Jhdm1d	338523	LIB	6787	0.134739676	0.083890257	0.185589094	5686	477	5135	953
Jhdm1d.8524	Jhdm1d	338523	LIB	8524	0.28018788	0.280165234	0.280210526	30018	8410	33250	9317
Jmjd1a.371	Jmjd1a	104263	LIB	371	0	0	0	15143	0	9975	0
Jmjd1a.753	Jmjd1a	104263	LIB	753	0.02953012	0.007313698	0.051746541	10118	74	13083	677
Jmjd1a.1070	Jmjd1a	104263	LIB	1070	0.084311633	0	0.168623266	5348	0	5622	948
Jmjd1a.3518	Jmjd1a	104263	LIB	3518	0.495965201	0.000211595	0.991718808	4726	1	5434	5389
Jmjd1b.1014	Jmjd1b	277250	LIB	1014	0.872781647	0.739329604	1.006233691	22703	16785	20694	20823
Jmjd1b.3708	Jmjd1b	277250	LIB	3708	0.000261472	0	0.000522944	4995	0	7649	4
Jmjd1b.5309	Jmjd1b	277250	LIB	5309	0.565075338	0.33739665	0.792754026	9434	3183	7204	5711
Jmjd1b.6406	Jmjd1b	277250	LIB	6406	1.329007355	0.941659685	1.716355024	42972	40465	40110	68843
Jmjd1b.6504	Jmjd1b	277250	LIB	6504	0.554591185	0.173112518	0.936069851	10265	1777	9964	9327
Jmjd1c.649	Jmjd1c	108829	LIB	649	0.300678085	0.162322666	0.439033504	9093	1476	8029	3525
Jmjd1c.3196	Jmjd1c	108829	LIB	3196	0.000842912	0.001685824	0	6525	11	11473	0
Jmjd1c.4221	Jmjd1c	108829	LIB	4221	0.103679501	0.106351828	0.101007173	26638	2833	27602	2788
Jmjd1c.6050	Jmjd1c	108829	LIB	6050	0.726982674	0.553239773	0.900725575	16745	9264	17779	16014
Jmjd1c.6346	Jmjd1c	108829	LIB	6346	0.230741091	0.167158309	0.294323873	19323	3230	17970	5289
Jmjd2a.424	Jmjd2a	230674	LIB	424	0.207264965	0.120808561	0.293721369	4205	508	3711	1090
Jmjd2a.663	Jmjd2a	230674	LIB	663	0.113322058	0.075793595	0.15085052	14302	1084	16049	2421
Jmjd2a.1474	Jmjd2a	230674	LIB	1474	0.08913639	0.002784366	0.175488414	9697	27	8804	1545
Jmjd2a.1498	Jmjd2a	230674	LIB	1498	0.043079662	0.069152399	0.017006925	66057	4568	55742	948
Jmjd2a.3033	Jmjd2a	230674	LIB	3033	0.000831282	0.001034029	0.000628536	10638	11	7955	5
Jmjd2b.1151	Jmjd2b	193796	LIB	1151	0.933461944	1.175144551	0.691779336	13663	16056	13831	9568
Jmjd2b.2905	Jmjd2b	193796	LIB	2905	1.786480339	2.379093311	1.193867366	112806	268376	97185	116026
Jmjd2b.4018	Jmjd2b	193796	LIB	4018	1.348195558	1.050841453	1.645549663	5645	5932	6977	11481
Jmjd2b.4170	Jmjd2b	193796	LIB	4170	0.895988133	0.355499082	1.436477183	28332	10072	26581	38183
Jmjd2c.738	Jmjd2c	76804	LIB	738	0.187741857	0.120085677	0.255398037	14473	1738	13755	3513
Jmjd2c.1217	Jmjd2c	76804	LIB	1217	1.318076072	0.96347543	1.672676713	9829	9470	11148	18647
Jmjd2c.3112	Jmjd2c	76804	LIB	3112	0.412965767	0.468026197	0.357905337	18781	8790	19860	7108
Jmjd2c.3541	Jmjd2c	76804	LIB	3541	0.480747339	0.556819876	0.404674802	40250	22412	40729	16482
Jmjd2d.301	Jmjd2d	244694	LIB	301	0.129064364	0.000328623	0.257800106	3043	1	3782	975
Jmjd2d.450	Jmjd2d	244694	LIB	450	1.353922306	0.000965251	2.706879362	1036	1	3009	8145
Jmjd2d.1143	Jmjd2d	244694	LIB	1143	0.490140075	0.956008305	0.024271845	7706	7367	7416	180
Jmjd2d.2310	Jmjd2d	244694	LIB	2310	0.164979808	0.256726348	0.073233268	102210	26240	106864	7826
Jmjd2d.2358	Jmjd2d	244694	LIB	2358	0.059442746	0.07510305	0.043782442	12130	911	13293	582
Jmjd4.1722	Jmjd4	194952	LIB	1722	0.741528975	0.765657556	0.717400394	8159	6247	16741	12010
Jmjd4.1796	Jmjd4	194952	LIB	1796	0.200102959	0.163622609	0.23658331	9253	1514	7118	1684
Jmjd4.2677	Jmjd4	194952	LIB	2677	0.676849819	0.820704579	0.532995059	31423	25789	37642	20063
Jmjd4.2749	Jmjd4	194952	LIB	2749	0.15829753	0.038494735	0.278100325	5793	223	8612	2395
Jmjd4.3327	Jmjd4	194952	LIB	3327	0.553203122	0.185103308	0.921302937	23522	4354	26494	24409
Jmjd5.18	Jmjd5	77035	LIB	18	2.587739528	3.744000541	1.431478516	14793	55385	14988	21455
Jmjd5.1123	Jmjd5	77035	LIB	1123	0.148414474	0.037384899	0.259444048	5430	203	5612	1456
Jmjd5.1291	Jmjd5	77035	LIB	1291	0.401904979	0.407221471	0.396588486	5179	2109	3752	1488
Jmjd5.1564	Jmjd5	77035	LIB	1564	0.186949478	0.022460197	0.351438759	10552	237	12059	4238
Jmjd5.2041	Jmjd5	77035	LIB	2041	0.008618272	0.016029948	0.001206596	10418	167	7459	9
Jmjd6.254	Jmjd6	107817	LIB	254	0.12362466	0.184941628	0.062307692	13534	2503	11700	729
Jmjd6.530	Jmjd6	107817	LIB	530	0.147628799	0.026531729	0.268725869	3656	97	3885	1044
Jmjd6.956	Jmjd6	107817	LIB	956	0.132745115	0.260845889	0.004644341	11018	2874	16364	76
Jmjd6.1633	Jmjd6	107817	LIB	1633	0.240665022	0.253816286	0.227513757	37602	9544	39980	9096
Kat2a.542	Kat2a	14534	LIB	542	0.618565777	0.940924658	0.296206897	3504	3297	5800	1718
Kat2a.1771	Kat2a	14534	LIB	1771	0.120971403	0	0.241942805	1161	0	2203	533
Kat2a.2053	Kat2a	14534	LIB	2053	0.538437996	0.10757034	0.969305652	12866	1384	10067	9758
Kat2a.2201	Kat2a	14534	LIB	2201	0.142403868	0.257946389	0.026861346	6827	1761	8972	241
Kat2b.1306	Kat2b	18519	LIB	1306	0.040373807	0.071984908	0.008762706	37105	2671	31383	275
Kat2b.2624	Kat2b	18519	LIB	2624	0.079970208	0.073811384	0.086129032	16637	1228	15500	1335
Kat2b.3228	Kat2b	18519	LIB	3228	0.069588311	0.063063063	0.076113558	6549	413	12258	933
Kat2b.3494	Kat2b	18519	LIB	3494	0.369201025	0.457417016	0.280985033	138189	63210	110981	31184
Kat2b.3766	Kat2b	18519	LIB	3766	0.111142996	0.145979608	0.076306385	16379	2391	10353	790
Kat5.679	Kat5	81601	LIB	679	0.117228687	0.230010953	0.004446421	2739	630	2249	10
Kat5.1193	Kat5	81601	LIB	1193	2.307918926	2.68596882	1.929869033	1796	4824	2367	4568
Kat5.1242	Kat5	81601	LIB	1242	NA	NA	NA	54	7231	887	4382
Kat5.1387	Kat5	81601	LIB	1387	3.821357363	3.433995327	4.208719399	15408	52911	10253	43152
L3mbtl.263	L3mbtl	241764	LIB	263	0.199214313	0.000694806	0.39773382	5757	4	5207	2071
L3mbtl.373	L3mbtl	241764	LIB	373	0.290562147	0.414519609	0.166604686	7879	3266	8067	1344
L3mbtl.725	L3mbtl	241764	LIB	725	0.389300951	0.33340748	0.445194422	125876	41968	136893	60944
L3mbtl.1906	L3mbtl	241764	LIB	1906	0.01201515	0.024030299	0	7657	184	3595	0
L3mbtl.2689	L3mbtl	241764	LIB	2689	0.068187318	0.136374637	0	8264	1127	4854	0
LOC100040412.49	LOC100040412	100040412	LIB	49	0.235139043	0.216814556	0.253463531	44628	9676	40349	10227
LOC100040412.495	LOC100040412	100040412	LIB	495	NA	NA	NA	518	0	264	0
LOC100040412.655	LOC100040412	100040412	LIB	655	0.385744528	0.194355059	0.577133998	36670	7127	34829	20101
LOC100040412.1128	LOC100040412	100040412	LIB	1128	0.321175793	0.350280264	0.292071322	20338	7124	19461	5684
LOC100044324.736	LOC100044324	100044324	LIB	736	0.541107405	0.527171897	0.555042912	53916	28423	51151	28391
LOC100044324.927	LOC100044324	100044324	LIB	927	0.174749605	0.349499209	0	3794	1326	5898	0
LOC100044324.1075	LOC100044324	100044324	LIB	1075	4.38507001	5.72404439	3.046095631	4055	23211	2907	8855
LOC100044324.1240	LOC100044324	100044324	LIB	1240	0.248179872	0	0.496359743	3549	0	2335	1159
LOC100044324.1314	LOC100044324	100044324	LIB	1314	0.215962555	0.146174702	0.285750408	33932	4960	43503	12431
LOC100048887.186	LOC100048887	100048887	LIB	186	4.761125427	3.672516129	5.849734725	11625	42693	11686	68360
LOC100048887.194	LOC100048887	100048887	LIB	194	0	0	0	1209	0	631	0
